Date,Crop,Market,Min_Price(₹/Quintal),Max_Price(₹/Quintal),Modal_Price(₹/Quintal)
2024-06-20,Wheat,Jamshedpur Mandi,2459,2899,2679
2024-06-20,Rice,Jamshedpur Mandi,1964,2299,2131
2024-06-20,Maize,Jamshedpur Mandi,1626,1877,1751
2024-06-20,Bajra,Jamshedpur Mandi,1743,2098,1920
2024-06-20,Sugarcane,Jamshedpur Mandi,1446,1875,1660
2024-06-20,Cotton,Jamshedpur Mandi,2378,2825,2601
2024-06-20,Barley,Jamshedpur Mandi,2035,2334,2184
2024-06-20,Groundnut,Jamshedpur Mandi,1798,2040,1919
2024-06-20,Mustard,Jamshedpur Mandi,2061,2399,2230
2024-06-20,Soybean,Jamshedpur Mandi,2297,2612,2454
2024-06-20,Pulses,Jamshedpur Mandi,1939,2305,2122
2024-06-20,Potato,Jamshedpur Mandi,2324,2616,2470
2024-06-21,Wheat,Ranchi Mandi,1784,2140,1962
2024-06-21,Rice,Ranchi Mandi,1799,1967,1883
2024-06-21,Maize,Ranchi Mandi,1248,1609,1428
2024-06-21,Bajra,Ranchi Mandi,1975,2421,2198
2024-06-21,Sugarcane,Ranchi Mandi,1877,2284,2080
2024-06-21,Cotton,Ranchi Mandi,1801,2257,2029
2024-06-21,Barley,Ranchi Mandi,1150,1516,1333
2024-06-21,Groundnut,Ranchi Mandi,2283,2442,2362
2024-06-21,Mustard,Ranchi Mandi,1914,2322,2118
2024-06-21,Soybean,Ranchi Mandi,1121,1312,1216
2024-06-21,Pulses,Ranchi Mandi,2103,2548,2325
2024-06-21,Potato,Ranchi Mandi,1624,1894,1759
2024-06-21,Wheat,Dhanbad Mandi,1447,1795,1621
2024-06-21,Rice,Dhanbad Mandi,2391,2784,2587
2024-06-21,Maize,Dhanbad Mandi,1874,2220,2047
2024-06-21,Bajra,Dhanbad Mandi,2138,2619,2378
2024-06-21,Sugarcane,Dhanbad Mandi,2316,2533,2424
2024-06-21,Cotton,Dhanbad Mandi,1135,1395,1265
2024-06-21,Barley,Dhanbad Mandi,1425,1744,1584
2024-06-21,Groundnut,Dhanbad Mandi,1297,1534,1415
2024-06-21,Mustard,Dhanbad Mandi,2280,2681,2480
2024-06-21,Soybean,Dhanbad Mandi,1400,1595,1497
2024-06-21,Pulses,Dhanbad Mandi,1150,1345,1247
2024-06-21,Potato,Dhanbad Mandi,1877,2309,2093
2024-06-21,Wheat,Bokaro Mandi,1167,1388,1277
2024-06-21,Rice,Bokaro Mandi,1430,1886,1658
2024-06-21,Maize,Bokaro Mandi,1850,2056,1953
2024-06-21,Bajra,Bokaro Mandi,2346,2820,2583
2024-06-21,Sugarcane,Bokaro Mandi,1990,2388,2189
2024-06-21,Cotton,Bokaro Mandi,1954,2453,2203
2024-06-21,Barley,Bokaro Mandi,2131,2365,2248
2024-06-21,Groundnut,Bokaro Mandi,1769,2268,2018
2024-06-21,Mustard,Bokaro Mandi,1373,1592,1482
2024-06-21,Soybean,Bokaro Mandi,1979,2390,2184
2024-06-21,Pulses,Bokaro Mandi,2365,2667,2516
2024-06-21,Potato,Bokaro Mandi,1579,1894,1736
2024-06-21,Wheat,Hazaribagh Mandi,2302,2714,2508
2024-06-21,Rice,Hazaribagh Mandi,2361,2844,2602
2024-06-21,Maize,Hazaribagh Mandi,1945,2209,2077
2024-06-21,Bajra,Hazaribagh Mandi,1644,1853,1748
2024-06-21,Sugarcane,Hazaribagh Mandi,2344,2627,2485
2024-06-21,Cotton,Hazaribagh Mandi,1446,1840,1643
2024-06-21,Barley,Hazaribagh Mandi,1803,2212,2007
2024-06-21,Groundnut,Hazaribagh Mandi,1101,1338,1219
2024-06-21,Mustard,Hazaribagh Mandi,2101,2425,2263
2024-06-21,Soybean,Hazaribagh Mandi,2117,2308,2212
2024-06-21,Pulses,Hazaribagh Mandi,2054,2480,2267
2024-06-21,Potato,Hazaribagh Mandi,1536,1810,1673
2024-06-21,Wheat,Jamshedpur Mandi,1462,1942,1702
2024-06-21,Rice,Jamshedpur Mandi,1704,1965,1834
2024-06-21,Maize,Jamshedpur Mandi,1396,1634,1515
2024-06-21,Bajra,Jamshedpur Mandi,2491,2972,2731
2024-06-21,Sugarcane,Jamshedpur Mandi,2336,2793,2564
2024-06-21,Cotton,Jamshedpur Mandi,1474,1819,1646
2024-06-21,Barley,Jamshedpur Mandi,2350,2573,2461
2024-06-21,Groundnut,Jamshedpur Mandi,1373,1826,1599
2024-06-21,Mustard,Jamshedpur Mandi,1492,1920,1706
2024-06-21,Soybean,Jamshedpur Mandi,1554,1829,1691
2024-06-21,Pulses,Jamshedpur Mandi,1164,1552,1358
2024-06-21,Potato,Jamshedpur Mandi,1867,2111,1989
2024-06-22,Wheat,Ranchi Mandi,1937,2368,2152
2024-06-22,Rice,Ranchi Mandi,1361,1555,1458
2024-06-22,Maize,Ranchi Mandi,1970,2244,2107
2024-06-22,Bajra,Ranchi Mandi,2248,2716,2482
2024-06-22,Sugarcane,Ranchi Mandi,1991,2383,2187
2024-06-22,Cotton,Ranchi Mandi,1611,1843,1727
2024-06-22,Barley,Ranchi Mandi,1208,1524,1366
2024-06-22,Groundnut,Ranchi Mandi,2430,2628,2529
2024-06-22,Mustard,Ranchi Mandi,1449,1928,1688
2024-06-22,Soybean,Ranchi Mandi,1259,1684,1471
2024-06-22,Pulses,Ranchi Mandi,1818,2191,2004
2024-06-22,Potato,Ranchi Mandi,1597,1750,1673
2024-06-22,Wheat,Dhanbad Mandi,1457,1886,1671
2024-06-22,Rice,Dhanbad Mandi,1016,1356,1186
2024-06-22,Maize,Dhanbad Mandi,1041,1445,1243
2024-06-22,Bajra,Dhanbad Mandi,1708,1900,1804
2024-06-22,Sugarcane,Dhanbad Mandi,1162,1500,1331
2024-06-22,Cotton,Dhanbad Mandi,1396,1858,1627
2024-06-22,Barley,Dhanbad Mandi,1984,2330,2157
2024-06-22,Groundnut,Dhanbad Mandi,1489,1863,1676
2024-06-22,Mustard,Dhanbad Mandi,2487,2928,2707
2024-06-22,Soybean,Dhanbad Mandi,2041,2241,2141
2024-06-22,Pulses,Dhanbad Mandi,1717,1975,1846
2024-06-22,Potato,Dhanbad Mandi,1395,1843,1619
2024-06-22,Wheat,Bokaro Mandi,1399,1840,1619
2024-06-22,Rice,Bokaro Mandi,1530,1796,1663
2024-06-22,Maize,Bokaro Mandi,2009,2284,2146
2024-06-22,Bajra,Bokaro Mandi,2053,2336,2194
2024-06-22,Sugarcane,Bokaro Mandi,1847,2042,1944
2024-06-22,Cotton,Bokaro Mandi,1810,2029,1919
2024-06-22,Barley,Bokaro Mandi,1644,2115,1879
2024-06-22,Groundnut,Bokaro Mandi,1766,2029,1897
2024-06-22,Mustard,Bokaro Mandi,1506,1761,1633
2024-06-22,Soybean,Bokaro Mandi,1728,1911,1819
2024-06-22,Pulses,Bokaro Mandi,2063,2322,2192
2024-06-22,Potato,Bokaro Mandi,1179,1464,1321
2024-06-22,Wheat,Hazaribagh Mandi,2307,2467,2387
2024-06-22,Rice,Hazaribagh Mandi,2036,2504,2270
2024-06-22,Maize,Hazaribagh Mandi,1350,1730,1540
2024-06-22,Bajra,Hazaribagh Mandi,2261,2482,2371
2024-06-22,Sugarcane,Hazaribagh Mandi,1890,2088,1989
2024-06-22,Cotton,Hazaribagh Mandi,1512,1750,1631
2024-06-22,Barley,Hazaribagh Mandi,2352,2709,2530
2024-06-22,Groundnut,Hazaribagh Mandi,1106,1345,1225
2024-06-22,Mustard,Hazaribagh Mandi,2346,2615,2480
2024-06-22,Soybean,Hazaribagh Mandi,1274,1742,1508
2024-06-22,Pulses,Hazaribagh Mandi,1044,1210,1127
2024-06-22,Potato,Hazaribagh Mandi,1490,1667,1578
2024-06-22,Wheat,Jamshedpur Mandi,1396,1617,1506
2024-06-22,Rice,Jamshedpur Mandi,1604,1804,1704
2024-06-22,Maize,Jamshedpur Mandi,2317,2522,2419
2024-06-22,Bajra,Jamshedpur Mandi,2274,2469,2371
2024-06-22,Sugarcane,Jamshedpur Mandi,2099,2260,2179
2024-06-22,Cotton,Jamshedpur Mandi,2323,2532,2427
2024-06-22,Barley,Jamshedpur Mandi,1480,1851,1665
2024-06-22,Groundnut,Jamshedpur Mandi,1224,1699,1461
2024-06-22,Mustard,Jamshedpur Mandi,1461,1688,1574
2024-06-22,Soybean,Jamshedpur Mandi,1684,1946,1815
2024-06-22,Pulses,Jamshedpur Mandi,1994,2271,2132
2024-06-22,Potato,Jamshedpur Mandi,1253,1481,1367
2024-06-23,Wheat,Ranchi Mandi,1157,1365,1261
2024-06-23,Rice,Ranchi Mandi,1134,1444,1289
2024-06-23,Maize,Ranchi Mandi,1769,1923,1846
2024-06-23,Bajra,Ranchi Mandi,1868,2264,2066
2024-06-23,Sugarcane,Ranchi Mandi,1529,1951,1740
2024-06-23,Cotton,Ranchi Mandi,1280,1471,1375
2024-06-23,Barley,Ranchi Mandi,2132,2620,2376
2024-06-23,Groundnut,Ranchi Mandi,1564,1857,1710
2024-06-23,Mustard,Ranchi Mandi,1400,1663,1531
2024-06-23,Soybean,Ranchi Mandi,2097,2310,2203
2024-06-23,Pulses,Ranchi Mandi,2062,2242,2152
2024-06-23,Potato,Ranchi Mandi,2429,2662,2545
2024-06-23,Wheat,Dhanbad Mandi,1582,2042,1812
2024-06-23,Rice,Dhanbad Mandi,1855,2312,2083
2024-06-23,Maize,Dhanbad Mandi,1393,1691,1542
2024-06-23,Bajra,Dhanbad Mandi,2053,2215,2134
2024-06-23,Sugarcane,Dhanbad Mandi,1493,1749,1621
2024-06-23,Cotton,Dhanbad Mandi,1780,1950,1865
2024-06-23,Barley,Dhanbad Mandi,1738,2222,1980
2024-06-23,Groundnut,Dhanbad Mandi,1689,1973,1831
2024-06-23,Mustard,Dhanbad Mandi,1602,2054,1828
2024-06-23,Soybean,Dhanbad Mandi,1067,1405,1236
2024-06-23,Pulses,Dhanbad Mandi,1644,1875,1759
2024-06-23,Potato,Dhanbad Mandi,1597,1788,1692
2024-06-23,Wheat,Bokaro Mandi,1017,1354,1185
2024-06-23,Rice,Bokaro Mandi,1524,1682,1603
2024-06-23,Maize,Bokaro Mandi,1191,1354,1272
2024-06-23,Bajra,Bokaro Mandi,2288,2787,2537
2024-06-23,Sugarcane,Bokaro Mandi,1655,2009,1832
2024-06-23,Cotton,Bokaro Mandi,1798,2188,1993
2024-06-23,Barley,Bokaro Mandi,1049,1453,1251
2024-06-23,Groundnut,Bokaro Mandi,1550,1924,1737
2024-06-23,Mustard,Bokaro Mandi,1715,1867,1791
2024-06-23,Soybean,Bokaro Mandi,1779,2070,1924
2024-06-23,Pulses,Bokaro Mandi,2053,2495,2274
2024-06-23,Potato,Bokaro Mandi,2043,2265,2154
2024-06-23,Wheat,Hazaribagh Mandi,2290,2654,2472
2024-06-23,Rice,Hazaribagh Mandi,2330,2607,2468
2024-06-23,Maize,Hazaribagh Mandi,1495,1894,1694
2024-06-23,Bajra,Hazaribagh Mandi,1310,1794,1552
2024-06-23,Sugarcane,Hazaribagh Mandi,1190,1636,1413
2024-06-23,Cotton,Hazaribagh Mandi,2367,2750,2558
2024-06-23,Barley,Hazaribagh Mandi,2432,2619,2525
2024-06-23,Groundnut,Hazaribagh Mandi,1858,2240,2049
2024-06-23,Mustard,Hazaribagh Mandi,1284,1510,1397
2024-06-23,Soybean,Hazaribagh Mandi,1483,1708,1595
2024-06-23,Pulses,Hazaribagh Mandi,1182,1595,1388
2024-06-23,Potato,Hazaribagh Mandi,2008,2310,2159
2024-06-23,Wheat,Jamshedpur Mandi,2001,2451,2226
2024-06-23,Rice,Jamshedpur Mandi,2414,2817,2615
2024-06-23,Maize,Jamshedpur Mandi,1372,1545,1458
2024-06-23,Bajra,Jamshedpur Mandi,1771,2193,1982
2024-06-23,Sugarcane,Jamshedpur Mandi,1115,1556,1335
2024-06-23,Cotton,Jamshedpur Mandi,1787,2135,1961
2024-06-23,Barley,Jamshedpur Mandi,1861,2047,1954
2024-06-23,Groundnut,Jamshedpur Mandi,1207,1413,1310
2024-06-23,Mustard,Jamshedpur Mandi,2195,2543,2369
2024-06-23,Soybean,Jamshedpur Mandi,1164,1392,1278
2024-06-23,Pulses,Jamshedpur Mandi,1037,1215,1126
2024-06-23,Potato,Jamshedpur Mandi,2130,2357,2243
2024-06-24,Wheat,Ranchi Mandi,1721,2114,1917
2024-06-24,Rice,Ranchi Mandi,2377,2794,2585
2024-06-24,Maize,Ranchi Mandi,1400,1706,1553
2024-06-24,Bajra,Ranchi Mandi,1651,1834,1742
2024-06-24,Sugarcane,Ranchi Mandi,1175,1573,1374
2024-06-24,Cotton,Ranchi Mandi,1898,2225,2061
2024-06-24,Barley,Ranchi Mandi,1007,1220,1113
2024-06-24,Groundnut,Ranchi Mandi,1298,1484,1391
2024-06-24,Mustard,Ranchi Mandi,1361,1537,1449
2024-06-24,Soybean,Ranchi Mandi,2451,2859,2655
2024-06-24,Pulses,Ranchi Mandi,1898,2104,2001
2024-06-24,Potato,Ranchi Mandi,1096,1300,1198
2024-06-24,Wheat,Dhanbad Mandi,1068,1404,1236
2024-06-24,Rice,Dhanbad Mandi,1695,2156,1925
2024-06-24,Maize,Dhanbad Mandi,2000,2227,2113
2024-06-24,Bajra,Dhanbad Mandi,1368,1554,1461
2024-06-24,Sugarcane,Dhanbad Mandi,1345,1834,1589
2024-06-24,Cotton,Dhanbad Mandi,1828,2251,2039
2024-06-24,Barley,Dhanbad Mandi,2492,2666,2579
2024-06-24,Groundnut,Dhanbad Mandi,1262,1427,1344
2024-06-24,Mustard,Dhanbad Mandi,1489,1968,1728
2024-06-24,Soybean,Dhanbad Mandi,2293,2790,2541
2024-06-24,Pulses,Dhanbad Mandi,1378,1842,1610
2024-06-24,Potato,Dhanbad Mandi,1035,1529,1282
2024-06-24,Wheat,Bokaro Mandi,2221,2633,2427
2024-06-24,Rice,Bokaro Mandi,1874,2306,2090
2024-06-24,Maize,Bokaro Mandi,1020,1422,1221
2024-06-24,Bajra,Bokaro Mandi,1034,1250,1142
2024-06-24,Sugarcane,Bokaro Mandi,2317,2665,2491
2024-06-24,Cotton,Bokaro Mandi,2033,2524,2278
2024-06-24,Barley,Bokaro Mandi,1720,2014,1867
2024-06-24,Groundnut,Bokaro Mandi,1299,1795,1547
2024-06-24,Mustard,Bokaro Mandi,1089,1321,1205
2024-06-24,Soybean,Bokaro Mandi,2447,2699,2573
2024-06-24,Pulses,Bokaro Mandi,1634,2114,1874
2024-06-24,Potato,Bokaro Mandi,1283,1579,1431
2024-06-24,Wheat,Hazaribagh Mandi,2284,2657,2470
2024-06-24,Rice,Hazaribagh Mandi,2273,2534,2403
2024-06-24,Maize,Hazaribagh Mandi,1800,1972,1886
2024-06-24,Bajra,Hazaribagh Mandi,1362,1569,1465
2024-06-24,Sugarcane,Hazaribagh Mandi,1575,1970,1772
2024-06-24,Cotton,Hazaribagh Mandi,1382,1808,1595
2024-06-24,Barley,Hazaribagh Mandi,1709,1998,1853
2024-06-24,Groundnut,Hazaribagh Mandi,1265,1669,1467
2024-06-24,Mustard,Hazaribagh Mandi,1448,1724,1586
2024-06-24,Soybean,Hazaribagh Mandi,1634,1846,1740
2024-06-24,Pulses,Hazaribagh Mandi,1517,1913,1715
2024-06-24,Potato,Hazaribagh Mandi,1342,1705,1523
2024-06-24,Wheat,Jamshedpur Mandi,2185,2549,2367
2024-06-24,Rice,Jamshedpur Mandi,1561,1949,1755
2024-06-24,Maize,Jamshedpur Mandi,1103,1283,1193
2024-06-24,Bajra,Jamshedpur Mandi,1678,1924,1801
2024-06-24,Sugarcane,Jamshedpur Mandi,1898,2103,2000
2024-06-24,Cotton,Jamshedpur Mandi,1488,1735,1611
2024-06-24,Barley,Jamshedpur Mandi,1334,1812,1573
2024-06-24,Groundnut,Jamshedpur Mandi,1832,2215,2023
2024-06-24,Mustard,Jamshedpur Mandi,1185,1552,1368
2024-06-24,Soybean,Jamshedpur Mandi,1050,1297,1173
2024-06-24,Pulses,Jamshedpur Mandi,1004,1375,1189
2024-06-24,Potato,Jamshedpur Mandi,2348,2674,2511
2024-06-25,Wheat,Ranchi Mandi,1913,2368,2140
2024-06-25,Rice,Ranchi Mandi,2140,2368,2254
2024-06-25,Maize,Ranchi Mandi,2357,2584,2470
2024-06-25,Bajra,Ranchi Mandi,1339,1655,1497
2024-06-25,Sugarcane,Ranchi Mandi,2279,2694,2486
2024-06-25,Cotton,Ranchi Mandi,1520,1728,1624
2024-06-25,Barley,Ranchi Mandi,1722,2144,1933
2024-06-25,Groundnut,Ranchi Mandi,1333,1489,1411
2024-06-25,Mustard,Ranchi Mandi,1317,1609,1463
2024-06-25,Soybean,Ranchi Mandi,1901,2141,2021
2024-06-25,Pulses,Ranchi Mandi,2466,2726,2596
2024-06-25,Potato,Ranchi Mandi,2420,2907,2663
2024-06-25,Wheat,Dhanbad Mandi,1990,2255,2122
2024-06-25,Rice,Dhanbad Mandi,1972,2258,2115
2024-06-25,Maize,Dhanbad Mandi,1240,1633,1436
2024-06-25,Bajra,Dhanbad Mandi,2304,2500,2402
2024-06-25,Sugarcane,Dhanbad Mandi,2434,2887,2660
2024-06-25,Cotton,Dhanbad Mandi,2091,2429,2260
2024-06-25,Barley,Dhanbad Mandi,1761,2184,1972
2024-06-25,Groundnut,Dhanbad Mandi,1091,1286,1188
2024-06-25,Mustard,Dhanbad Mandi,1005,1429,1217
2024-06-25,Soybean,Dhanbad Mandi,1620,2056,1838
2024-06-25,Pulses,Dhanbad Mandi,1870,2331,2100
2024-06-25,Potato,Dhanbad Mandi,1934,2114,2024
2024-06-25,Wheat,Bokaro Mandi,2050,2426,2238
2024-06-25,Rice,Bokaro Mandi,2357,2802,2579
2024-06-25,Maize,Bokaro Mandi,1532,2017,1774
2024-06-25,Bajra,Bokaro Mandi,1008,1315,1161
2024-06-25,Sugarcane,Bokaro Mandi,1341,1822,1581
2024-06-25,Cotton,Bokaro Mandi,1347,1654,1500
2024-06-25,Barley,Bokaro Mandi,1821,2112,1966
2024-06-25,Groundnut,Bokaro Mandi,1771,1961,1866
2024-06-25,Mustard,Bokaro Mandi,1766,1944,1855
2024-06-25,Soybean,Bokaro Mandi,1641,2081,1861
2024-06-25,Pulses,Bokaro Mandi,1086,1240,1163
2024-06-25,Potato,Bokaro Mandi,1760,2244,2002
2024-06-25,Wheat,Hazaribagh Mandi,1424,1629,1526
2024-06-25,Rice,Hazaribagh Mandi,1738,2045,1891
2024-06-25,Maize,Hazaribagh Mandi,2257,2725,2491
2024-06-25,Bajra,Hazaribagh Mandi,2168,2409,2288
2024-06-25,Sugarcane,Hazaribagh Mandi,2408,2591,2499
2024-06-25,Cotton,Hazaribagh Mandi,1839,2105,1972
2024-06-25,Barley,Hazaribagh Mandi,2188,2461,2324
2024-06-25,Groundnut,Hazaribagh Mandi,1508,1678,1593
2024-06-25,Mustard,Hazaribagh Mandi,1866,2290,2078
2024-06-25,Soybean,Hazaribagh Mandi,2148,2579,2363
2024-06-25,Pulses,Hazaribagh Mandi,1594,1951,1772
2024-06-25,Potato,Hazaribagh Mandi,1615,2081,1848
2024-06-25,Wheat,Jamshedpur Mandi,1746,2014,1880
2024-06-25,Rice,Jamshedpur Mandi,2177,2651,2414
2024-06-25,Maize,Jamshedpur Mandi,1326,1592,1459
2024-06-25,Bajra,Jamshedpur Mandi,1451,1795,1623
2024-06-25,Sugarcane,Jamshedpur Mandi,1488,1673,1580
2024-06-25,Cotton,Jamshedpur Mandi,1041,1430,1235
2024-06-25,Barley,Jamshedpur Mandi,1513,1795,1654
2024-06-25,Groundnut,Jamshedpur Mandi,1869,2263,2066
2024-06-25,Mustard,Jamshedpur Mandi,1285,1690,1487
2024-06-25,Soybean,Jamshedpur Mandi,2425,2907,2666
2024-06-25,Pulses,Jamshedpur Mandi,1313,1735,1524
2024-06-25,Potato,Jamshedpur Mandi,2018,2422,2220
2024-06-26,Wheat,Ranchi Mandi,1818,2214,2016
2024-06-26,Rice,Ranchi Mandi,1566,1991,1778
2024-06-26,Maize,Ranchi Mandi,2049,2373,2211
2024-06-26,Bajra,Ranchi Mandi,2460,2848,2654
2024-06-26,Sugarcane,Ranchi Mandi,1020,1202,1111
2024-06-26,Cotton,Ranchi Mandi,1177,1532,1354
2024-06-26,Barley,Ranchi Mandi,2181,2667,2424
2024-06-26,Groundnut,Ranchi Mandi,1235,1477,1356
2024-06-26,Mustard,Ranchi Mandi,1660,1827,1743
2024-06-26,Soybean,Ranchi Mandi,1358,1789,1573
2024-06-26,Pulses,Ranchi Mandi,2017,2299,2158
2024-06-26,Potato,Ranchi Mandi,1042,1454,1248
2024-06-26,Wheat,Dhanbad Mandi,2020,2478,2249
2024-06-26,Rice,Dhanbad Mandi,2059,2537,2298
2024-06-26,Maize,Dhanbad Mandi,1387,1652,1519
2024-06-26,Bajra,Dhanbad Mandi,1948,2249,2098
2024-06-26,Sugarcane,Dhanbad Mandi,2132,2608,2370
2024-06-26,Cotton,Dhanbad Mandi,2274,2724,2499
2024-06-26,Barley,Dhanbad Mandi,2351,2658,2504
2024-06-26,Groundnut,Dhanbad Mandi,1810,2012,1911
2024-06-26,Mustard,Dhanbad Mandi,1587,1938,1762
2024-06-26,Soybean,Dhanbad Mandi,1684,1849,1766
2024-06-26,Pulses,Dhanbad Mandi,1019,1409,1214
2024-06-26,Potato,Dhanbad Mandi,1051,1259,1155
2024-06-26,Wheat,Bokaro Mandi,1600,1842,1721
2024-06-26,Rice,Bokaro Mandi,1384,1833,1608
2024-06-26,Maize,Bokaro Mandi,2065,2376,2220
2024-06-26,Bajra,Bokaro Mandi,1665,1890,1777
2024-06-26,Sugarcane,Bokaro Mandi,1263,1628,1445
2024-06-26,Cotton,Bokaro Mandi,1587,1930,1758
2024-06-26,Barley,Bokaro Mandi,2042,2456,2249
2024-06-26,Groundnut,Bokaro Mandi,2289,2767,2528
2024-06-26,Mustard,Bokaro Mandi,2455,2663,2559
2024-06-26,Soybean,Bokaro Mandi,1772,2184,1978
2024-06-26,Pulses,Bokaro Mandi,1382,1839,1610
2024-06-26,Potato,Bokaro Mandi,2285,2781,2533
2024-06-26,Wheat,Hazaribagh Mandi,1328,1505,1416
2024-06-26,Rice,Hazaribagh Mandi,2262,2486,2374
2024-06-26,Maize,Hazaribagh Mandi,1782,2216,1999
2024-06-26,Bajra,Hazaribagh Mandi,1367,1785,1576
2024-06-26,Sugarcane,Hazaribagh Mandi,1772,2027,1899
2024-06-26,Cotton,Hazaribagh Mandi,1025,1304,1164
2024-06-26,Barley,Hazaribagh Mandi,2191,2397,2294
2024-06-26,Groundnut,Hazaribagh Mandi,2114,2445,2279
2024-06-26,Mustard,Hazaribagh Mandi,1245,1508,1376
2024-06-26,Soybean,Hazaribagh Mandi,1212,1425,1318
2024-06-26,Pulses,Hazaribagh Mandi,2492,2756,2624
2024-06-26,Potato,Hazaribagh Mandi,1504,1724,1614
2024-06-26,Wheat,Jamshedpur Mandi,1624,1959,1791
2024-06-26,Rice,Jamshedpur Mandi,1404,1622,1513
2024-06-26,Maize,Jamshedpur Mandi,1839,2294,2066
2024-06-26,Bajra,Jamshedpur Mandi,2186,2666,2426
2024-06-26,Sugarcane,Jamshedpur Mandi,2423,2613,2518
2024-06-26,Cotton,Jamshedpur Mandi,2055,2263,2159
2024-06-26,Barley,Jamshedpur Mandi,1570,1787,1678
2024-06-26,Groundnut,Jamshedpur Mandi,2418,2738,2578
2024-06-26,Mustard,Jamshedpur Mandi,2455,2821,2638
2024-06-26,Soybean,Jamshedpur Mandi,2374,2536,2455
2024-06-26,Pulses,Jamshedpur Mandi,1966,2119,2042
2024-06-26,Potato,Jamshedpur Mandi,2275,2504,2389
2024-06-27,Wheat,Ranchi Mandi,2422,2710,2566
2024-06-27,Rice,Ranchi Mandi,1759,1999,1879
2024-06-27,Maize,Ranchi Mandi,1298,1492,1395
2024-06-27,Bajra,Ranchi Mandi,1345,1746,1545
2024-06-27,Sugarcane,Ranchi Mandi,1272,1654,1463
2024-06-27,Cotton,Ranchi Mandi,1739,2203,1971
2024-06-27,Barley,Ranchi Mandi,1403,1560,1481
2024-06-27,Groundnut,Ranchi Mandi,1616,1794,1705
2024-06-27,Mustard,Ranchi Mandi,1224,1516,1370
2024-06-27,Soybean,Ranchi Mandi,2128,2554,2341
2024-06-27,Pulses,Ranchi Mandi,1043,1534,1288
2024-06-27,Potato,Ranchi Mandi,1391,1744,1567
2024-06-27,Wheat,Dhanbad Mandi,1608,2044,1826
2024-06-27,Rice,Dhanbad Mandi,1590,1777,1683
2024-06-27,Maize,Dhanbad Mandi,1316,1607,1461
2024-06-27,Bajra,Dhanbad Mandi,2030,2340,2185
2024-06-27,Sugarcane,Dhanbad Mandi,2439,2929,2684
2024-06-27,Cotton,Dhanbad Mandi,1962,2351,2156
2024-06-27,Barley,Dhanbad Mandi,1431,1676,1553
2024-06-27,Groundnut,Dhanbad Mandi,1901,2124,2012
2024-06-27,Mustard,Dhanbad Mandi,1033,1186,1109
2024-06-27,Soybean,Dhanbad Mandi,2217,2587,2402
2024-06-27,Pulses,Dhanbad Mandi,1235,1619,1427
2024-06-27,Potato,Dhanbad Mandi,2344,2546,2445
2024-06-27,Wheat,Bokaro Mandi,1685,1885,1785
2024-06-27,Rice,Bokaro Mandi,1420,1734,1577
2024-06-27,Maize,Bokaro Mandi,2044,2453,2248
2024-06-27,Bajra,Bokaro Mandi,2186,2337,2261
2024-06-27,Sugarcane,Bokaro Mandi,2056,2452,2254
2024-06-27,Cotton,Bokaro Mandi,1646,1929,1787
2024-06-27,Barley,Bokaro Mandi,2268,2568,2418
2024-06-27,Groundnut,Bokaro Mandi,2368,2654,2511
2024-06-27,Mustard,Bokaro Mandi,1997,2313,2155
2024-06-27,Soybean,Bokaro Mandi,1256,1752,1504
2024-06-27,Pulses,Bokaro Mandi,1538,1901,1719
2024-06-27,Potato,Bokaro Mandi,2278,2593,2435
2024-06-27,Wheat,Hazaribagh Mandi,1654,1836,1745
2024-06-27,Rice,Hazaribagh Mandi,2497,2657,2577
2024-06-27,Maize,Hazaribagh Mandi,1659,1810,1734
2024-06-27,Bajra,Hazaribagh Mandi,2272,2656,2464
2024-06-27,Sugarcane,Hazaribagh Mandi,1981,2242,2111
2024-06-27,Cotton,Hazaribagh Mandi,1512,2001,1756
2024-06-27,Barley,Hazaribagh Mandi,2394,2627,2510
2024-06-27,Groundnut,Hazaribagh Mandi,1872,2128,2000
2024-06-27,Mustard,Hazaribagh Mandi,2013,2405,2209
2024-06-27,Soybean,Hazaribagh Mandi,1958,2185,2071
2024-06-27,Pulses,Hazaribagh Mandi,1692,1862,1777
2024-06-27,Potato,Hazaribagh Mandi,1028,1462,1245
2024-06-27,Wheat,Jamshedpur Mandi,1424,1651,1537
2024-06-27,Rice,Jamshedpur Mandi,2321,2743,2532
2024-06-27,Maize,Jamshedpur Mandi,2201,2482,2341
2024-06-27,Bajra,Jamshedpur Mandi,1256,1600,1428
2024-06-27,Sugarcane,Jamshedpur Mandi,1349,1513,1431
2024-06-27,Cotton,Jamshedpur Mandi,1690,1886,1788
2024-06-27,Barley,Jamshedpur Mandi,2202,2622,2412
2024-06-27,Groundnut,Jamshedpur Mandi,1935,2185,2060
2024-06-27,Mustard,Jamshedpur Mandi,2030,2521,2275
2024-06-27,Soybean,Jamshedpur Mandi,1914,2110,2012
2024-06-27,Pulses,Jamshedpur Mandi,1956,2371,2163
2024-06-27,Potato,Jamshedpur Mandi,2362,2709,2535
2024-06-28,Wheat,Ranchi Mandi,2025,2198,2111
2024-06-28,Rice,Ranchi Mandi,1519,1678,1598
2024-06-28,Maize,Ranchi Mandi,1253,1574,1413
2024-06-28,Bajra,Ranchi Mandi,1930,2205,2067
